id,rating,title,content,author,date,helpful_votes,verified_purchase
1,5,[미니 빔 프로젝터] 추천해요!,배송이 정말 빠르고 포장도 완벽했습니다. 제품 퀄리티도 아주 훌륭해요.,김철수,2026-02-12,22,Yes
2,3,[고속 충전 보조배터리] 가격 대비 그냥 그래요.,설명서가 조금 불친절해서 처음 설정하는 데 고생 좀 했습니다.,조민수,2025-03-17,23,No
3,5,[스마트 노이즈 캔슬링 헤드폰] 배송도 빠르고 제품도 좋네요.,이 가격에 이만한 성능이라니 놀랍습니다. 주변 사람들에게도 추천하고 있어요.,윤서연,2025-11-04,8,Yes
4,5,[스마트 홈 공기청정기] 정말 만족합니다!,조작이 간편하고 성능이 기대 이상입니다. 아주 만족스럽게 사용 중이에요.,강현우,2026-01-24,6,No
5,2,[4K 울트라 HD 모니터] 배송이 너무 느려요.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,박지민,2025-04-19,31,Yes
6,3,[미니 빔 프로젝터] 생각보다 별로네요.,기능은 괜찮은데 소음이 생각보다 큽니다. 조용한 곳에서는 쓰기 힘들 것 같아요.,신지훈,2026-01-31,21,No
7,2,[전동 칫솔 블랙 에디션] 소음이 좀 있습니다.,가격 대비 성능이 특별할 게 없네요. 다음번엔 다른 모델을 고려해볼 것 같습니다.,최유진,2025-03-19,0,No
8,1,[BaristaPro 에스프레소 메이커] 배송이 너무 느려요.,기능은 괜찮은데 소음이 생각보다 큽니다. 조용한 곳에서는 쓰기 힘들 것 같아요.,조민수,2025-04-07,46,No
9,3,[BaristaPro 에스프레소 메이커] 조금 아쉽습니다.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,Jessica T.,2025-02-03,45,Yes
10,3,[로봇 청소기 프로] 생각보다 별로네요.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,윤서연,2025-09-29,46,Yes
11,5,[BaristaPro 에스프레소 메이커] 가성비 갑입니다.,배송이 정말 빠르고 포장도 완벽했습니다. 제품 퀄리티도 아주 훌륭해요.,최유진,2025-12-09,15,Yes
12,5,[저소음 블루투스 키보드] 추천해요!,품질이 정말 좋네요. 마감 처리도 깔끔하고 내구성도 좋아 보입니다.,Jessica T.,2026-01-14,32,No
13,2,[로봇 청소기 프로] 배송이 너무 느려요.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,조민수,2025-10-02,47,No
14,2,[초경량 무선 게이밍 마우스] 조금 아쉽습니다.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,김철수,2025-09-29,43,No
15,1,[고속 충전 보조배터리] 소음이 좀 있습니다.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,Sarah J.,2025-11-02,10,No
16,3,[BaristaPro 에스프레소 메이커] 생각보다 별로네요.,기능은 괜찮은데 소음이 생각보다 큽니다. 조용한 곳에서는 쓰기 힘들 것 같아요.,윤서연,2026-02-06,21,No
17,4,[로봇 청소기 프로] 가성비 갑입니다.,디자인이 세련되어서 인테리어용으로도 좋네요. 기능도 충실합니다.,조민수,2025-08-13,22,Yes
18,2,[고속 충전 보조배터리] 가격 대비 그냥 그래요.,가격 대비 성능이 특별할 게 없네요. 다음번엔 다른 모델을 고려해볼 것 같습니다.,박지민,2025-08-04,23,Yes
19,1,[고속 충전 보조배터리] 가격 대비 그냥 그래요.,가격 대비 성능이 특별할 게 없네요. 다음번엔 다른 모델을 고려해볼 것 같습니다.,Sarah J.,2025-01-24,3,No
20,3,[미니 빔 프로젝터] 조금 아쉽습니다.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,Jessica T.,2025-06-04,5,Yes
21,3,[4K 울트라 HD 모니터] 배송이 너무 느려요.,기능은 괜찮은데 소음이 생각보다 큽니다. 조용한 곳에서는 쓰기 힘들 것 같아요.,한나래,2026-02-07,8,Yes
22,3,[BaristaPro 에스프레소 메이커] 조금 아쉽습니다.,설명서가 조금 불친절해서 처음 설정하는 데 고생 좀 했습니다.,Sarah J.,2025-04-08,18,Yes
23,5,[BaristaPro 에스프레소 메이커] 디자인이 너무 예뻐요.,이 가격에 이만한 성능이라니 놀랍습니다. 주변 사람들에게도 추천하고 있어요.,조민수,2025-07-03,45,Yes
24,4,[전동 칫솔 블랙 에디션] 추천해요!,디자인이 세련되어서 인테리어용으로도 좋네요. 기능도 충실합니다.,최유진,2025-03-01,2,Yes
25,5,[4K 울트라 HD 모니터] 배송도 빠르고 제품도 좋네요.,배송이 정말 빠르고 포장도 완벽했습니다. 제품 퀄리티도 아주 훌륭해요.,김철수,2026-02-11,22,Yes
26,5,[고속 충전 보조배터리] 디자인이 너무 예뻐요.,조작이 간편하고 성능이 기대 이상입니다. 아주 만족스럽게 사용 중이에요.,윤서연,2025-08-05,49,Yes
27,1,[BaristaPro 에스프레소 메이커] 가격 대비 그냥 그래요.,가격 대비 성능이 특별할 게 없네요. 다음번엔 다른 모델을 고려해볼 것 같습니다.,박지민,2025-01-28,10,Yes
28,3,[고속 충전 보조배터리] 배송이 너무 느려요.,설명서가 조금 불친절해서 처음 설정하는 데 고생 좀 했습니다.,정다운,2025-12-13,7,Yes
29,5,[미니 빔 프로젝터] 추천해요!,디자인이 세련되어서 인테리어용으로도 좋네요. 기능도 충실합니다.,김철수,2025-05-23,29,Yes
30,1,[고속 충전 보조배터리] 소음이 좀 있습니다.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,윤서연,2025-09-28,15,Yes
31,5,[BaristaPro 에스프레소 메이커] 배송도 빠르고 제품도 좋네요.,조작이 간편하고 성능이 기대 이상입니다. 아주 만족스럽게 사용 중이에요.,한나래,2026-01-01,5,Yes
32,2,[BaristaPro 에스프레소 메이커] 배송이 너무 느려요.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,강현우,2026-01-20,17,No
33,3,[고속 충전 보조배터리] 배송이 너무 느려요.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,최유진,2025-03-07,49,No
34,4,[BaristaPro 에스프레소 메이커] 배송도 빠르고 제품도 좋네요.,배송이 정말 빠르고 포장도 완벽했습니다. 제품 퀄리티도 아주 훌륭해요.,김철수,2025-09-17,0,No
35,1,[고속 충전 보조배터리] 조금 아쉽습니다.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,김철수,2025-02-06,21,Yes
36,1,[로봇 청소기 프로] 조금 아쉽습니다.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,조민수,2025-08-18,45,Yes
37,2,[초경량 무선 게이밍 마우스] 배송이 너무 느려요.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,Jessica T.,2025-05-10,45,Yes
38,5,[스마트 홈 공기청정기] 디자인이 너무 예뻐요.,품질이 정말 좋네요. 마감 처리도 깔끔하고 내구성도 좋아 보입니다.,조민수,2025-10-09,4,No
39,1,[4K 울트라 HD 모니터] 가격 대비 그냥 그래요.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,Sarah J.,2025-02-18,47,No
40,4,[로봇 청소기 프로] 정말 만족합니다!,품질이 정말 좋네요. 마감 처리도 깔끔하고 내구성도 좋아 보입니다.,강현우,2026-01-01,31,No
41,2,[BaristaPro 에스프레소 메이커] 가격 대비 그냥 그래요.,성능은 만족스러우나 배송 중 상자가 약간 찌그러져서 왔네요. 아쉽습니다.,최유진,2025-04-20,22,Yes
42,3,[BaristaPro 에스프레소 메이커] 배송이 너무 느려요.,기능은 괜찮은데 소음이 생각보다 큽니다. 조용한 곳에서는 쓰기 힘들 것 같아요.,강현우,2025-09-06,30,Yes
43,3,[고속 충전 보조배터리] 배송이 너무 느려요.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,조민수,2025-05-07,2,No
44,4,[BaristaPro 에스프레소 메이커] 가성비 갑입니다.,디자인이 세련되어서 인테리어용으로도 좋네요. 기능도 충실합니다.,정다운,2025-09-13,17,No
45,2,[고속 충전 보조배터리] 생각보다 별로네요.,기능은 괜찮은데 소음이 생각보다 큽니다. 조용한 곳에서는 쓰기 힘들 것 같아요.,윤서연,2025-11-28,43,Yes
46,5,[고속 충전 보조배터리] 배송도 빠르고 제품도 좋네요.,이 가격에 이만한 성능이라니 놀랍습니다. 주변 사람들에게도 추천하고 있어요.,Jessica T.,2025-06-04,26,Yes
47,1,[전동 칫솔 블랙 에디션] 생각보다 별로네요.,설명서가 조금 불친절해서 처음 설정하는 데 고생 좀 했습니다.,Jessica T.,2025-07-26,49,No
48,4,[스마트 노이즈 캔슬링 헤드폰] 배송도 빠르고 제품도 좋네요.,품질이 정말 좋네요. 마감 처리도 깔끔하고 내구성도 좋아 보입니다.,신지훈,2026-02-15,40,Yes
49,1,[BaristaPro 에스프레소 메이커] 배송이 너무 느려요.,사용하다 보니 발열이 좀 있네요. 장시간 사용은 주의해야 할 것 같습니다.,강현우,2025-07-11,8,Yes
50,1,[미니 빔 프로젝터] 조금 아쉽습니다.,가격 대비 성능이 특별할 게 없네요. 다음번엔 다른 모델을 고려해볼 것 같습니다.,Sarah J.,2025-08-18,8,Yes
51,4,[스마트 홈 공기청정기] 배송도 빠르고 제품도 좋네요.,이 가격에 이만한 성능이라니 놀랍습니다. 주변 사람들에게도 추천하고 있어요.,최유진,2025-05-31,10,Yes
